,大江大河2定档1220,人类一败涂地进不去,毛衣如何穿出时髦感,四川最硬气耙耳朵,狗子从鳄鱼嘴里逃脱被收编成警犬,有翡原音,金在中身材,名侦探学院,英国议员夺走女王权杖抗议,戚薇雾莲仙女裙,黄多多短发,微博之夜投票,黄子韬怒斥偷拍者,上万只乌鸦遮天蔽日侵袭加拿大,义乌市图书馆停用制热空调,安徽一批国产鸡腿外包装核酸阳性,BLACKPINK演唱会延期,一只小动物从嫦五返回器前跑过,巴西将使用中国新冠疫苗,追光吧哥哥不做成团出道,广东药科大学失联男生已离世,39岁全智贤状态,王自健前妻发文,劳斯莱斯回应拼多多122万元补贴,川航确诊飞行员在江油密接均为阴性,狗仔镜头下的关晓彤,小黑瓶开启圣诞季,幻书启世录书化人形,邓超对孙俪的字佩服得五体投地,一加七周年,汽车红人创造营,心愿2010vs2020,超级亲子节,星战中国话,微博之夜,百县千红新农人,杨幂的宝藏,重庆又一冻库牛肉外包装核酸呈阳性,李嘉欣,YSL夜皇后精华,欧豪两副面孔,教育视频星计划,皆大欢洗告别2020,Jinjiao加入SN,男子扯掉并脚踢国旗被依法行拘,国博首部解谜书,奇葩说前传之千人奇葩捞,用心只做一件事,美爆了的圣诞礼物,义乌限电晚上关闭所有路灯,松鼠的起床气有多大,还以为进了青青草原,周冬雨冷艳红唇大片,日本出售3D仿真人脸面具,王一博有翡老年妆,蔡琳高梓淇离婚,从嫦五返回器前跑过的是兔子,月球上的土有啥用,听起来像日文名的中文名,中国盲盒出口增速超400%,CPA,王祖蓝二胎得女,微信被上海消保委点名
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,56874.4,116262.2,177133.4,337706.6,339723.8,370032.0,412376.8,418234.8,419683.0,423050.8,425557.4,426086.6,443923.6,446307.0,472030.8,575289.6,611756.8,629915.6,631363.4,636724.0,970022.8,1140770.4,1162231.4,1338831.4,1551988.6,3607538.2,236492.4,276120.8,233034.4,298956.8,229799.0,277422.0,221872.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,57762.6,175383.4,336564.2,339013.2,365792.4,411750.6,420002.2,422370.6,425781.4,428263.8,425043.8,439715.6,441316.0,464662.8,569315.2,606752.0,625856.6,627244.0,632098.4,962438.6,1130386.4,1144245.6,1386956.6,1546321.8,3614947.2,236492.4,276120.8,344325.8,298956.8,229799.0,277422.0,221872.8,301534.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,57762.6,116152.8,334663.8,337491.0,360481.2,409506.2,421052.2,423684.0,427079.6,429616.8,423477.0,434341.0,434940.6,455251.2,560517.0,598469.0,620179.4,621396.0,625762.8,951148.2,1116142.4,1118407.6,1403552.6,1535994.8,3619244.2,0.0,0.0,465940.4,298956.8,229799.0,277422.0,221872.8,301534.6,214756.6,278597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,114944.2,333336.2,336519.4,356109.8,407922.2,418348.2,420964.8,424020.4,426179.0,416554.8,429734.8,428925.0,447164.2,553291.6,589307.2,615508.0,616669.2,620371.6,939268.0,1103103.6,1092616.6,1415565.6,1525842.4,3631221.8,0.0,0.0,522747.8,298956.8,229799.0,277422.0,221872.8,587242.8,214756.6,278597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,172387.6,331384.2,335146.4,352501.8,405874.6,414395.8,417135.8,419967.4,421254.2,409193.4,423787.2,423136.0,438075.6,545259.6,573687.0,609936.6,610903.2,613352.0,924275.8,1089242.4,1063497.8,1395824.6,1510146.8,3634658.0,0.0,0.0,563719.6,0.0,0.0,277422.0,221872.8,587242.8,214756.6,278597.0,283238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,230382.2,330057.0,334378.8,350100.0,405016.2,411494.6,414375.0,416241.8,417554.0,404610.2,419509.8,420302.4,429551.2,538391.2,559983.8,606093.4,605758.6,606855.8,911029.2,1080458.6,1040611.6,1373839.4,1495817.6,3648464.0,0.0,0.0,588674.8,0.0,0.0,0.0,0.0,587242.8,214756.6,278597.0,557067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
