,每个人的身上都有苗苗,星巴克试用可重复使用杯子,男子在机场摆渡车上猥亵少女被拘,赵立坚说美方泼中国脏水是想转移视线,张彬彬问龚俊和曾舜晞是什么狗,马思纯不舍米佧,男子做核磁共振被忘在检查舱,鸭舍失火导致一万只活鸭变烤鸭,你是我的城池营垒全员剧透,美团崩了,利路修 从喜欢到恨只有一步,陈小纭回应怼网友,双胞胎学生过斑马线被撞一死一伤,魏大勋摘头套,别轻易尝试黄瓜减肥,Angelababy短发,速度与激情9确认引进,外交部向全球特别推介湖北,好利来称卷入西藏冒险王事件系谣言,刘诗诗生图,不做厚脸皮,好利来,被男友拍成了一只青蛙,陈卓璇评价张雨绮能力普通却自信,备孕者可以接种新冠疫苗,陈建斌蒋勤勤接吻,刘昊然 脉动品牌代言人,沙漠 有机 就是更好有机,视频制作人出道计划,周迅心里话,肖战 满汉大餐是什么,胡歌 9 90 900,杨紫撑起年轻,坦克硬闯潮流发布会,基金人滚雪球日常,来逛糖酒会我都走瘦了,王一博连续六年为汪涵庆生,日本大阪将取消奥运火炬传递活动,山河令演唱会批复,房产税
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.001537932014117338,0.008648126015550428,0.0021056790945059856,0.00030185262045812067,0.0002690582959641308,-0.0023269991609604634,0.0012469609937320048,0.00016310400909658185,0.004242243961140479,0.005003329397438749,0.01755702795076286,0.032185356582100644,-0.02320820372174237,0.012126700148895608,0.0011443069096521707,-4.664740439852544e-05,-0.0050161501673441355,0.002246308816555631,0.0016645081051258614,1.0,3.337986734108789e-05,0.0005042328254407646,-3.3041483096130086e-05,0.01067823359169151,5.35284697686933e-05,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.007557843000880915,-0.005266871696555819,-0.0007782424173247149,0.15534641804869254,-0.10388634846628209,-0.22594143577322068,-0.39408320652033735,-0.42315209997111203,-0.44342941004210856,-0.47082392538637885,-0.4765895877726041,-0.4222157283850294,-0.3558335702965454,-0.36030729565153596,-0.32754151652170016,-0.3168756723370787,-0.24524003922051096,0.05527957813892792,0.012661448049553492,0.0,0.008429989548741412,0.007364592012402138,0.013736964582732991,-0.08208555457035094,0.0048337738330475055,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
