,大江大河2定档1220,人类一败涂地进不去,毛衣如何穿出时髦感,四川最硬气耙耳朵,狗子从鳄鱼嘴里逃脱被收编成警犬,有翡原音,金在中身材,名侦探学院,英国议员夺走女王权杖抗议,戚薇雾莲仙女裙,黄多多短发,微博之夜投票,黄子韬怒斥偷拍者,上万只乌鸦遮天蔽日侵袭加拿大,义乌市图书馆停用制热空调,安徽一批国产鸡腿外包装核酸阳性,BLACKPINK演唱会延期,一只小动物从嫦五返回器前跑过,巴西将使用中国新冠疫苗,追光吧哥哥不做成团出道,广东药科大学失联男生已离世,39岁全智贤状态,王自健前妻发文,劳斯莱斯回应拼多多122万元补贴,川航确诊飞行员在江油密接均为阴性,狗仔镜头下的关晓彤,小黑瓶开启圣诞季,幻书启世录书化人形,邓超对孙俪的字佩服得五体投地,一加七周年,汽车红人创造营,心愿2010vs2020,超级亲子节,星战中国话,微博之夜,百县千红新农人,杨幂的宝藏,重庆又一冻库牛肉外包装核酸呈阳性,李嘉欣,YSL夜皇后精华,欧豪两副面孔,教育视频星计划,皆大欢洗告别2020,Jinjiao加入SN,男子扯掉并脚踢国旗被依法行拘,国博首部解谜书,奇葩说前传之千人奇葩捞,用心只做一件事,美爆了的圣诞礼物,义乌限电晚上关闭所有路灯,松鼠的起床气有多大,还以为进了青青草原,周冬雨冷艳红唇大片,日本出售3D仿真人脸面具,王一博有翡老年妆,蔡琳高梓淇离婚,从嫦五返回器前跑过的是兔子,月球上的土有啥用,听起来像日文名的中文名,中国盲盒出口增速超400%,CPA,王祖蓝二胎得女,微信被上海消保委点名
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40624.57142857143,83044.42857142857,167581.42857142858,336146.14285714284,338767.0,365160.5714285714,410713.85714285716,418982.4285714286,420908.5714285714,423377.4285714286,425235.4285714286,420859.85714285716,439019.85714285716,440343.85714285716,463744.5714285714,568116.4285714285,602466.1428571428,625127.8571428572,626394.0,630851.4285714285,959785.0,1127233.142857143,1138797.4285714286,1362465.0,1543393.4285714286,3614502.4285714286,168923.14285714287,197229.14285714287,332814.5714285714,213540.57142857142,164142.14285714287,198158.57142857142,158480.57142857142,215381.85714285713,153397.57142857142,198997.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,41259.0,166319.2857142857,334830.14285714284,337682.28571428574,361208.14285714284,409422.4285714286,418097.0,420451.0,423512.5714285714,425836.85714285716,419634.0,434802.71428571426,435401.14285714284,455936.14285714284,561202.5714285715,595079.4285714285,620646.2857142857,621714.8571428572,625836.1428571428,950165.1428571428,1116430.142857143,1117225.142857143,1383629.2857142857,1534799.5714285714,3622168.1428571427,168923.14285714287,197229.14285714287,419093.0,213540.57142857142,164142.14285714287,198158.57142857142,158480.57142857142,419459.14285714284,153397.57142857142,198997.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,41259.0,165042.7142857143,333134.71428571426,336268.85714285716,357031.0,407856.5714285714,416539.71428571426,419357.0,422778.5714285714,425256.85714285716,417738.4285714286,429264.14285714284,429867.28571428574,446495.14285714284,552934.1428571428,585515.8571428572,615238.2857142857,616178.4285714285,619795.1428571428,937447.2857142857,1103869.142857143,1091617.5714285714,1396546.857142857,1522349.0,3627936.0,0.0,0.0,504105.5714285714,213540.57142857142,164142.14285714287,198158.57142857142,158480.57142857142,419459.14285714284,153397.57142857142,198997.85714285713,202312.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,164558.7142857143,331690.85714285716,335339.5714285714,353699.0,406698.0,414271.5714285714,416855.28571428574,419693.5714285714,421616.0,412071.85714285716,424500.71428571426,425144.5714285714,438171.4285714286,545618.4285714285,575317.7142857143,610794.5714285715,611151.8571428572,613618.7142857143,924152.4285714285,1093098.857142857,1066707.142857143,1385147.2857142857,1508965.142857143,3639756.4285714286,0.0,0.0,541233.4285714285,213540.57142857142,164142.14285714287,198158.57142857142,158480.57142857142,419459.14285714284,153397.57142857142,198997.85714285713,397905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
