,大江大河2定档1220,人类一败涂地进不去,毛衣如何穿出时髦感,四川最硬气耙耳朵,狗子从鳄鱼嘴里逃脱被收编成警犬,有翡原音,金在中身材,名侦探学院,英国议员夺走女王权杖抗议,戚薇雾莲仙女裙,黄多多短发,微博之夜投票,黄子韬怒斥偷拍者,上万只乌鸦遮天蔽日侵袭加拿大,义乌市图书馆停用制热空调,安徽一批国产鸡腿外包装核酸阳性,BLACKPINK演唱会延期,一只小动物从嫦五返回器前跑过,巴西将使用中国新冠疫苗,追光吧哥哥不做成团出道,广东药科大学失联男生已离世,39岁全智贤状态,王自健前妻发文,劳斯莱斯回应拼多多122万元补贴,川航确诊飞行员在江油密接均为阴性,狗仔镜头下的关晓彤,小黑瓶开启圣诞季,幻书启世录书化人形,邓超对孙俪的字佩服得五体投地,一加七周年,汽车红人创造营,心愿2010vs2020,超级亲子节,星战中国话,微博之夜,百县千红新农人,杨幂的宝藏,重庆又一冻库牛肉外包装核酸呈阳性,李嘉欣,YSL夜皇后精华,欧豪两副面孔,教育视频星计划,皆大欢洗告别2020,Jinjiao加入SN,男子扯掉并脚踢国旗被依法行拘,国博首部解谜书,奇葩说前传之千人奇葩捞,用心只做一件事,美爆了的圣诞礼物,义乌限电晚上关闭所有路灯,松鼠的起床气有多大,还以为进了青青草原,周冬雨冷艳红唇大片,日本出售3D仿真人脸面具,王一博有翡老年妆,蔡琳高梓淇离婚,从嫦五返回器前跑过的是兔子,月球上的土有啥用,听起来像日文名的中文名,中国盲盒出口增速超400%,CPA,王祖蓝二胎得女,微信被上海消保委点名
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,142186.0,146249.0,296153.0,339852.0,341957.0,376859.0,413733.0,413808.0,413970.0,414122.0,414282.0,414317.0,450717.0,453852.0,484978.0,587115.0,612459.0,637499.0,638889.0,643573.0,981377.0,1154960.0,1189772.0,1259746.0,1561890.0,3602648.0,591231.0,690302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,144406.5,294757.0,338565.0,340589.5,373954.0,413173.0,417469.0,419166.5,422243.0,424981.5,427332.0,447472.5,451591.5,477866.0,580980.0,609510.0,633492.0,634329.0,639497.5,977408.0,1149746.5,1178746.5,1303788.5,1557192.5,3599534.0,591231.0,690302.0,159956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,144406.5,146680.5,337511.0,339075.0,368354.0,412811.5,421899.5,424910.0,429806.5,435263.5,439101.0,442956.5,446695.5,467544.0,572120.5,615088.0,628492.5,629366.5,635903.0,970376.0,1140436.0,1161917.0,1398352.5,1552854.5,3611131.0,0.0,0.0,355070.5,747392.0,574497.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,335775.5,337741.5,362696.5,410902.5,421214.0,423056.0,428323.0,431771.0,430726.0,436978.0,437250.0,459722.0,563686.5,613652.5,622547.5,624635.0,630526.0,956960.5,1124699.5,1131946.0,1413417.0,1541834.0,3617987.5,0.0,0.0,422630.0,747392.0,574497.5,693555.0,554682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,143701.5,333973.5,337479.5,357697.5,409698.5,421202.0,424031.5,427586.0,428255.0,416350.0,430974.0,429668.5,451624.0,557610.0,595562.5,617399.5,619299.0,622556.5,945032.0,1108050.0,1103811.0,1439166.0,1532005.0,3624913.0,0.0,0.0,505744.0,0.0,0.0,693555.0,554682.0,753836.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,143701.5,332245.0,336375.0,352982.0,406556.5,420851.5,423972.5,424194.0,424430.5,407793.0,426760.5,425436.0,443029.0,550183.5,579239.5,613158.5,613970.5,616170.0,934190.5,1093390.0,1080212.5,1421549.0,1521905.5,3631913.0,0.0,0.0,582265.0,0.0,0.0,0.0,0.0,753836.5,536891.5,696492.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,143659.0,330495.0,334355.0,349747.5,403602.0,413334.0,415652.0,417840.5,419769.5,406109.5,422520.5,420614.0,434119.5,540921.0,565898.0,607620.5,607892.0,610180.5,919481.5,1081539.5,1049674.0,1375311.0,1505994.0,3640220.5,0.0,0.0,606011.0,0.0,0.0,0.0,0.0,714270.5,536891.5,696492.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,287267.5,329312.0,333213.5,348405.5,403732.5,405258.5,408539.5,412026.0,414357.0,403392.0,416572.0,417184.0,424605.0,533977.0,553133.0,602885.5,603134.5,604876.0,903195.0,1073186.0,1024642.5,1379032.5,1488234.5,3649665.5,0.0,0.0,599518.5,0.0,0.0,0.0,0.0,714270.5,0.0,0.0,708095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,288595.0,327577.5,332390.0,347672.0,403637.5,404080.0,406581.5,408876.5,410208.5,400864.5,411415.5,415693.5,415689.5,526435.5,540344.0,599011.0,597358.5,596736.5,886363.5,1068087.0,1001933.5,1309101.5,1466772.0,3661093.0,0.0,0.0,587447.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392667.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
