	老医生立遗嘱将财产留给救过自己的朋友	一半法国人不愿接种新冠疫苗	金晨拒绝陈一鸣	于朦胧练舞好像做颈椎复健操	有翡还原度	王一博好会哭	QQ或推出已读功能	明道工作室回应	安徽发现一批次国产鸡腿外包装阳性	糖水燕窝曝光者隐私遭辛选泄露	向太晒向佐郭碧婷豪宅内景	于正否认有儿子	王小岚否认自己是视频中的女生	明星大侦探演唱会阵容	国台办称绝不为台独分裂活动留空间	苹果计划将iPhone产量提升30％	兔子搓脸脸有多可爱	哥老官 兽药	胡一天乔欣亲出声	朱星杰承认与王岚恋情	我国超一半人感染幽门螺杆菌	金晨 不喜欢就是不喜欢	哈尔滨男子晨跑眉毛挂霜变鳌拜	王岚称另有男友	朴彩英给金智秀送咖啡车应援	国产千元机遭海外疯抢	港府官员宣誓效忠香港特区	尼格买提父母爱情太好哭了	核酸检测阳性旅客达5个暂停该航线2周	何炅为了张杰的票戒酒7天	QQ 怎么还当真了	奚梦瑶 烫头是冬天的仪式感	东北虎也扛不住哈尔滨的冷	唐艺昕圣诞热红酒vlog	能让羽绒服冬天滞销的城市	张云雷煮泡面的锅坏了	杨幂反派气场	韩国小朋友的汉语考试	huanfeng道歉	不奉陪	上万枚冷冻胚胎十年无人问津
0	443010	517499	524451	527676	535748	614123	626991	652302	663585	693949	808144	1036601	1050710	1066975	1074837	1104624	1110771	1121786	2239404	2808162	2832791	3256128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	443010	517499	524451	527676	535748	614123	626991	652302	663585	693949	808144	1036601	1050710	1066975	1074837	1104624	1110771	1121786	2239404	2808162	2832791	3256128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	453665	443428	565990	590794	605036	624069	634115	642580	643418	652252	792342	1049096	1059744	1070961	1077522	1087066	1098544	1110708	2218253	2777681	2901241	3199480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	463362	454629	568119	568489	573915	614699	624767	633847	634264	635641	789445	1075954	1078368	1086100	1097392	1104047	1108010	1115004	2257612	2771129	2899807	3189179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	469918	462352	555580	560774	584838	600270	607551	619956	622677	626378	783598	1105318	1105606	1106130	1106778	1107326	1107739	1108100	2303224	2732291	2863164	3171034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	474762	0	558304	607235	590292	732628	743897	583522	766601	777326	778678	1139356	1282857	1417612	1516585	1900817	1968432	2337139	2340263	2729171	2740465	3162729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	489197	488272	557930	630698	601818	737772	743193	593549	771548	775547	787449	1160437	1251292	1330028	1616325	1902722	1935511	2232712	2347620	2742110	2930213	3167804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	500209	0	557319	645836	615355	727660	728700	573445	756433	772650	782669	1152451	1204482	1373976	1608907	1725853	1906689	2129370	2326616	2734157	2749650	3134332	746423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	484612	489474	554116	668612	632546	725164	730666	556624	763106	780991	783655	1176616	1160911	1262049	1601328	1744524	1998190	2120491	2311029	2735141	2746021	3120077	744566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	481652	501724	554499	688430	647170	725882	733062	541489	762567	770495	785329	1213346	1133738	1398637	1596972	1787915	2006998	2137460	2298079	2735503	2851232	3120495	743209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
